Time	Iv
0.000869	0.164482
0.00087	0.164441
0.000871	0.1644
0.000872	0.164359
0.000873	0.164317
0.000874	0.164276
0.000875	0.164235
0.000876	0.164194
0.000877	0.164153
0.000878	0.164112
0.000879	0.164071
0.00088	0.16403
0.000881	0.163989
0.000883	0.164806
0.000884	0.165624
0.000885	0.166443
0.000886	0.167262
0.000887	0.168082
0.000888	0.168902
0.000889	0.169723
0.00089	0.170545
0.000891	0.171367
0.000892	0.17219
0.000893	0.173014
0.000894	0.173838
0.000895	0.174663
0.000896	0.175488
0.000897	0.176314
0.000898	0.177141
0.000899	0.177968
0.0009	0.178796
0.000901	0.179625
0.000902	0.180454
0.000903	0.181283
0.000904	0.182114
0.000905	0.182945
0.000906	0.183776
0.000907	0.184608
0.000908	0.185441
0.000909	0.186274
0.00091	0.187108
0.000911	0.187943
0.000912	0.188778
0.000913	0.189614
0.000914	0.19045
0.000915	0.191287
0.000916	0.192125
0.000917	0.192963
0.000918	0.193802
0.000919	0.194641
0.00092	0.195481
0.000921	0.196321
0.000922	0.197163
0.000923	0.198004
0.000924	0.198847
0.000925	0.19969
0.000926	0.200533
0.000927	0.201377
0.000928	0.202222
0.000929	0.203067
0.00093	0.203913
0.000931	0.204759
0.000932	0.205606
0.000933	0.206454
0.000935	0.206402
0.000936	0.206351
0.000937	0.206299
0.000938	0.206248
0.000939	0.206196
0.00094	0.206144
0.000941	0.206093
0.000942	0.206041
0.000943	0.20599
0.000944	0.205938
0.000945	0.205887
0.000946	0.205836
0.000947	0.205784
0.000948	0.205733
0.000949	0.205681
0.00095	0.20563
0.000951	0.205578
0.000952	0.205527
0.000953	0.205476
0.000954	0.205424
0.000955	0.205373
0.000956	0.205322
0.000957	0.20527
0.000958	0.205219
0.000959	0.205168
0.00096	0.205116
0.000961	0.205065
0.000962	0.205014
0.000963	0.204963
0.000964	0.204911
0.000965	0.20486
0.000966	0.204809
0.000967	0.204758
0.000968	0.204707
0.000969	0.204656
0.00097	0.204604
0.000971	0.204553
0.000972	0.204502
0.000973	0.204451
0.000974	0.2044
0.000975	0.204349
0.000976	0.204298
0.000977	0.204247
0.000978	0.204196
0.000979	0.204145
0.00098	0.204094
0.000981	0.204043
0.000982	0.203992
0.000983	0.203941
0.000984	0.20389
0.000985	0.203839
0.000987	0.20474
0.000988	0.205642
0.000989	0.206545
0.00099	0.207448
0.000991	0.208352
0.000992	0.209257
0.000993	0.210162
0.000994	0.211067
0.000995	0.211973
0.000996	0.21288
0.000997	0.213787
0.000998	0.214695
0.000999	0.215604
0.001	0.216512
0.001001	0.217422
0.001002	0.218332
0.001003	0.219243
0.001004	0.220154
0.001005	0.221065
0.001006	0.221978
0.001007	0.22289
0.001008	0.223804
0.001009	0.224718
0.00101	0.225632
0.001011	0.226547
0.001012	0.227462
0.001013	0.228379
0.001014	0.229295
0.001015	0.230212
0.001016	0.23113
0.001017	0.232048
0.001018	0.232967
0.001019	0.233886
0.00102	0.234806
0.001021	0.235726
0.001022	0.236647
0.001023	0.237569
0.001024	0.238491
